run_id,task,condition,trial,success,wall_ms,duration_api_ms,num_turns,total_cost_usd,input_tokens,output_tokens,cache_read,cache_creation,result_length,stop_reason,total_tool_calls,standard_calls,lsp_calls,mcp_calls,lsp_ratio,mcp_ratio,first_tool,tool_sequence
20260317_194106,t1_call_chain,BASE,1,true,135061,112996,10,0.245274,9,7609,98329,27097,13127,end_turn,8,8,0,0,0.0,0.0,Glob,Glob;Read;Glob;Glob;Read;Read;Read;Read
20260317_194106,t1_call_chain,BASE,2,true,110547,88565,9,0.195273,8,5427,68279,24896,12385,end_turn,7,7,0,0,0.0,0.0,Glob,Glob;Glob;Read;Glob;Glob;Read;Read
20260317_194106,t1_call_chain,BASE,3,true,119194,97320,11,0.201887,10,4575,127683,25314,11234,end_turn,9,9,0,0,0.0,0.0,Glob,Glob;Read;Glob;Glob;Read;Read;Glob;Glob;Read
20260317_194106,t1_call_chain,BASE,4,true,116040,94330,9,0.20063,517,5242,68110,26671,9011,end_turn,7,7,0,0,0.0,0.0,Glob,Glob;Glob;Read;Read;Glob;Read;Read
20260317_194106,t1_call_chain,BASE,5,true,126712,104741,10,0.216652,8,6948,70142,24364,13474,end_turn,8,8,0,0,0.0,0.0,Glob,Glob;Glob;Read;Read;Glob;Glob;Read;Read
20260317_194106,t1_call_chain,LSP_GUIDED,1,true,141468,119592,10,0.31292,9,6982,128240,45251,11112,end_turn,9,8,0,0,0.0,0.0,Bash,Bash;ToolSearch;Glob;Glob;Read;Read;Glob;Read;Read
20260317_194106,t1_call_chain,LSP_GUIDED,2,true,120605,99054,11,0.232992,9,6107,153112,25447,8510,end_turn,10,9,0,0,0.0,0.0,Bash,Bash;ToolSearch;Glob;Read;Glob;Glob;Grep;Grep;Read;Read
20260317_194106,t1_call_chain,LSP_GUIDED,3,true,116850,95232,13,0.260179,178,5248,201885,32096,12261,end_turn,12,11,0,0,0.0,0.0,Bash,Bash;ToolSearch;Glob;Read;Glob;Read;Glob;Glob;Read;Read;Glob;Grep
20260317_194106,t1_call_chain,LSP_GUIDED,4,true,145034,123240,11,0.250617,9,7325,153386,25253,8083,end_turn,10,9,0,0,0.0,0.0,Bash,Bash;ToolSearch;Glob;Read;Glob;Glob;Grep;Grep;Read;Read
20260317_194106,t1_call_chain,LSP_GUIDED,5,true,139494,116436,9,0.246104,12,6775,167489,25119,11252,end_turn,8,6,1,0,0.125,0.0,Bash,Bash;ToolSearch;Glob;LSP;Read;Read;Read;Read
20260317_194106,t1_call_chain,LSP,1,true,105822,83682,8,0.217944,7,5149,98899,29605,8848,end_turn,6,6,0,0,0.0,0.0,Glob,Glob;Glob;Read;Read;Glob;Glob
20260317_194106,t1_call_chain,LSP,2,true,103991,82241,8,0.223978,7,4577,100898,33342,12340,end_turn,6,6,0,0,0.0,0.0,Glob,Glob;Glob;Read;Read;Read;Read
20260317_194106,t1_call_chain,LSP,3,true,128141,106084,12,0.235343,518,5682,165422,26382,11342,end_turn,10,10,0,0,0.0,0.0,Glob,Glob;Glob;Read;Read;Glob;Glob;Grep;Grep;Read;Read
20260317_194106,t1_call_chain,LSP,4,true,137941,116037,10,0.251091,8,5810,132576,33105,8647,end_turn,8,8,0,0,0.0,0.0,Glob,Glob;Glob;Read;Read;Glob;Glob;Read;Read
20260317_194106,t1_call_chain,LSP,5,true,175597,153410,10,0.303739,8,6402,152545,43179,11637,end_turn,8,8,0,0,0.0,0.0,Glob,Glob;Glob;Read;Read;Glob;Glob;Read;Read
20260317_194106,t1_call_chain,TG_GUIDED,1,true,134882,101856,12,0.191009,14,6025,153358,14556,10466,end_turn,10,0,0,10,0.0,1.0,mcp__type-guessr__get_method_sources,mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_signatures;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources;mcp__type-guessr__search_methods;mcp__type-guessr__get_method_sources;mcp__type-guessr__get_method_sources
