file,task,condition,trial,completeness,accuracy,depth,overall,summary
t1_call_chain_BASE_t1,t1_call_chain,BASE,1,9,8,9,8.7,"Excellent and thorough analysis that covers all major resolution paths with accurate detail, organized clearly into distinct paths with full call trees; only missing the top-level Resolver#infer guard checks."
t1_call_chain_BASE_t2,t1_call_chain,BASE,2,9,8,9,8.7,"Comprehensive and well-structured analysis that covers all major resolution paths with accurate call chains, minor gaps in entry-point guards and CallNode structure definition, but excellent depth in tracing substitution and fallback mechanisms."
t1_call_chain_BASE_t3,t1_call_chain,BASE,3,9,9,10,9.3,"Exceptionally thorough and well-organized answer that covers all reference elements and adds meaningful depth into registry and type substitution internals, with only minor completeness gaps in the dispatch table enumeration."
t1_call_chain_BASE_t4,t1_call_chain,BASE,4,9,8,9,8.7,"Comprehensive and deeply detailed trace of the CallNode resolution chain that covers nearly all branches and helper methods with accurate logic descriptions, missing only the explicit Resolver#infer guard checks and CallNode IR structure."
t1_call_chain_BASE_t5,t1_call_chain,BASE,5,9,9,10,9.3,"Excellent and thorough analysis that covers nearly all reference elements with high accuracy, going deeper into registry internals and type variable substitution mechanics, only missing the top-level Resolver#infer guard checks and caching layer."
t1_call_chain_LSP_GUIDED_t1,t1_call_chain,LSP_GUIDED,1,9,9,9,9.0,"Comprehensive and accurate trace of the CallNode resolution chain that covers all major branches, helper methods, and type substitution mechanics, with only minor omissions in the entry-point guard enumeration."
t1_call_chain_LSP_GUIDED_t2,t1_call_chain,LSP_GUIDED,2,8,8,9,8.3,"Thorough and well-structured answer that covers the full resolution chain with excellent depth and mostly accurate details, but misses some entry-point guard specifics (INFERRING sentinel, MAX_DEPTH, circular reference) and the CallNode IR structure."
t1_call_chain_LSP_GUIDED_t3,t1_call_chain,LSP_GUIDED,3,9,8,9,8.7,"Comprehensive and deeply detailed analysis that covers nearly all resolution paths with accurate control flow descriptions, only missing minor structural details like the full dispatch table and exact CallNode IR attributes."
t1_call_chain_LSP_GUIDED_t4,t1_call_chain,LSP_GUIDED,4,9,8,9,8.7,Thorough and well-structured analysis that covers nearly all resolution paths with accurate detail; main gaps are the omission of top-level infer() guard logic and minor naming discrepancies in registry methods.
t1_call_chain_LSP_GUIDED_t5,t1_call_chain,LSP_GUIDED,5,9,8,9,8.7,"Comprehensive and well-structured analysis that captures nearly the complete resolution chain with accurate details and excellent depth, with only minor inaccuracies in edge case descriptions and slight gaps in IR node structure coverage."
t1_call_chain_LSP_t1,t1_call_chain,LSP,1,8,7,9,8.0,"Thorough and well-structured analysis that covers the core resolution chain in excellent depth, but misses the Resolver#infer entry point guards (caching, circular reference, depth limit) and some structural details like the CallNode IR attributes and Result class definition."
t1_call_chain_LSP_t2,t1_call_chain,LSP,2,9,9,10,9.3,"Exceptionally thorough and accurate trace of the CallNode resolution chain that matches or exceeds the reference in detail, with only minor omissions of the top-level infer() guard checks."
t1_call_chain_LSP_t3,t1_call_chain,LSP,3,9,8,9,8.7,"Comprehensive and well-structured analysis that captures nearly all resolution paths with accurate detail and clear call-chain notation, with only minor gaps in IR node structure documentation and source symbol enumeration."
t1_call_chain_LSP_t4,t1_call_chain,LSP,4,8,8,9,8.3,"Thorough and accurate analysis of the CallNode resolution chain with excellent depth on substitution mechanics and branch logic, but missing the top-level infer() guard checks, caching/depth machinery, and CallNode IR structure details."
t1_call_chain_LSP_t5,t1_call_chain,LSP,5,9,9,10,9.3,"Comprehensive and accurate trace of the CallNode resolution chain that covers all major branches, helper methods, and type substitution mechanics, with only minor gaps in the explicit enumeration of entry-point guard conditions."
t1_call_chain_TG_GUIDED_t1,t1_call_chain,TG_GUIDED,1,9,9,10,9.3,"Excellent answer that covers all major elements of the CallNode resolution chain with high accuracy, and surpasses the reference in depth by detailing SignatureRegistry internals, overload resolution, and on-demand inference mechanisms."
t1_call_chain_TG_GUIDED_t2,t1_call_chain,TG_GUIDED,2,9,9,10,9.3,"Excellent answer that covers all major resolution paths with high accuracy and exceeds the reference in depth on SignatureRegistry internals and type substitution mechanics, with only minor omissions of the Resolver#infer guard checks and dispatch table."
t1_call_chain_TG_GUIDED_t3,t1_call_chain,TG_GUIDED,3,9,9,10,9.3,"Comprehensive and accurate analysis that covers the full CallNode resolution chain with excellent depth, including registry internals and type variable substitution mechanics not fully detailed in the reference."
t1_call_chain_TG_GUIDED_t4,t1_call_chain,TG_GUIDED,4,9,8,9,8.7,"Comprehensive and well-structured answer that covers nearly all elements from the reference with high accuracy and excellent depth, including additional insights about on-demand inference; minor gaps in IR node structure details and full dispatch table enumeration."
t1_call_chain_TG_GUIDED_t5,t1_call_chain,TG_GUIDED,5,9,9,10,9.3,"Excellent answer that covers all key elements of the CallNode resolution chain with high accuracy, adds valuable details beyond the reference (on-demand inference, GemMethodEntry, overload scoring), and provides outstanding structural organization through branching labels and a summary tree."
t1_call_chain_TG_NATURAL_t1,t1_call_chain,TG_NATURAL,1,9,9,10,9.3,"Comprehensive and accurate trace that covers all reference elements and goes deeper into SignatureRegistry, RBSConverter, and substitution internals with an excellent summary flow diagram."
